name,handle,description,followers_count,friends_count,listed_count,favourites_count,created_at,features,firstdate,lastdate,totalreplies,totallikes,totalretweets,mentions,totalengagementrate,ratiod,type,reach,colourval
Ayesha Hazarika,ayeshahazarika,"Editor of the Londoner Diary, Evening Standard. Columnist. Broadcaster. Author. Stand up. After dinner speaker. Feminist. Former Labour adviser. Busy.",57629,1204,403,51708,Wed Apr 13 09:42:24 +0000 2011,62,15/02/2020,06/02/2020,1362,12931,1485,56,0.273785768,5.270244363,journo,62904.85427,
Matthew d'Ancona,MatthewdAncona,Editor and Partner at @tortoise,51655,1451,792,9518,Tue Jul 19 12:39:38 +0000 2011,68,15/02/2020,15/01/2020,1721,20509,3140,0,0.491143161,6.99441876,journo,62810.67839,
Allegra Stratton,ITVAllegra,"National Editor, ITV News & Screeny  @pestononsunday. Previous happy incarnations: political editor Newsnight, Woman's Hour and pol corr The Guardian.",56408,3741,1043,79,Tue Feb 14 15:05:34 +0000 2012,73,27/01/2020,17/10/2016,695,4097,1712,0,0.115302794,3.886948122,journo,62490.33166,
Samira Ahmed,SamiraAhmedUK,"How I Found My Voice podcast,BBC Front Row&Newswatch.Freelance Journo,Visiting Prof Kingston U.Spiritual Berliner,ex-LosAngeleno,movie connoisseur,Westerns/SF",55648,8014,1003,4298,Fri Feb 12 17:21:19 +0000 2010,24,14/02/2020,14/01/2020,645,11845,1780,0,0.256433295,9.701336525,journo,61971.9196,
Sathnam Sanghera,Sathnam,"Author of #TheBoyWithTheTopknot & Marriage Material. Writer for @thetimes, presenter #Massacre1919 @channel4, formerly @ft, Wulfrunian, FRSL",57585,1986,628,56665,Thu Nov 27 19:55:22 +0000 2008,28,15/02/2020,24/01/2020,903,12779,1207,0,0.258556916,5.808439796,journo,61873.18593,
MichaelWhite,michaelwhite,Elderly Hack and Sage,56334,307,1255,100,Wed May 07 12:40:55 +0000 2008,47,15/02/2020,09/02/2020,615,4831,1377,7,0.12111691,2.390995707,journo,61226.15578,
Mark Kleinman,MarkKleinmanSky,"City editor of Sky News, City AM columnist and Charlton Athletic fan. London Press Club Business Journalist of the Year 2011 and 2015.",54738,1119,1098,8,Sun Sep 13 19:22:27 +0000 2009,41,15/02/2020,12/10/2019,330,1280,1248,0,0.052212357,1.663722816,journo,59171.84925,
Matt Frei,mattfrei,Now Channel 4 Presenter and Europe Editor. Author of Italy the Unfinished Revolution and Only in America. Still husband of 1 and father of 4.,52657,1166,1187,4146,Wed Nov 18 17:44:37 +0000 2009,33,08/02/2020,26/05/2019,759,6475,1716,12,0.169967906,5.225752344,journo,58753.54271,
James Delingpole QC,JamesDelingpole,Still right about everything https://t.co/oZW99AiHTr,53792,1975,1085,22093,Sun Aug 10 14:04:20 +0000 2008,27,15/02/2020,06/02/2020,1269,7394,1191,0,0.183187091,3.872153596,journo,58023.34171,
Janine Gibson,janinegibson,"Assistant editor, FT • sinkhole tracker • everyone needs an editor",52318,2448,1600,36329,Mon Nov 20 05:40:16 +0000 2006,37,14/02/2020,18/01/2020,731,6597,1421,28,0.16722734,4.302912075,journo,57366.47739,
Josh Halliday,JoshHalliday,"North of England correspondent, @guardian. @LUFC, @leedsrhinos fan from Bradford. Volunteer mentor @SocialMobilityF💥 Email: josh.halliday@theguardian.com💥",55197,7803,1252,3907,Wed Dec 10 20:39:38 +0000 2008,25,15/02/2020,12/12/2019,429,1832,508,0,0.05016577,2.449862841,journo,57001.80402,
Paul Blanchard,paulwrblanchard,"Media consigliere for global leaders. Founder @right_angles, book @fastpr_book, podcast @mediamasters_fm, write @entrepreneur @forbes @cityam, member @wef. ENTJ",55900,1207,217,49075,Mon Jul 13 12:55:13 +0000 2009,17,15/02/2020,31/01/2020,143,741,204,3,0.019463327,1.149916248,journo,56624.76382,
Owen Gibson,owen_g,Guardian deputy editor. Former sports and media hack.,53602,7102,1567,8909,Mon Dec 17 17:22:52 +0000 2007,24,15/02/2020,07/01/2020,278,2534,707,6,0.065650535,3.376399899,journo,56113.80402,
The Secret Barrister,BarristerSecret,"Wears a black cape and fights crime. Not Batman. • Author of award-winning No.1 bestseller The Secret Barrister. New book, #FakeLaw, available now to pre-order.",306817,998,1093,53597,Mon May 25 14:21:29 +0000 2015,22,15/02/2020,03/02/2020,3574,112745,34056,0,0.490112999,18.21692179,other,427809.9246,
Jo Maugham QC,JolyonMaugham,"Director @GoodLawProject. Blogs https://t.co/KiSIv7FdF1. Represented by Antony Topping.

Perform your values.",178548,1750,1613,55958,Mon Nov 07 08:23:01 +0000 2011,48,31/01/2020,20/12/2019,32849,70884,15172,0,0.665955373,5.665313899,other,232450.5327,
Adam Wagner,AdamWagner1,Human rights barrister @DoughtyStreet. Founder/Chair @EachOtherUK. Visiting Law Prof @GoldsmithsUoL. Presenter @bhumanpodcast. Views my own not of any orgs,57465,3765,1009,23718,Wed Mar 17 21:14:06 +0000 2010,18,14/02/2020,11/02/2020,573,5087,1833,0,0.130392413,5.831812331,other,63977.21608,
WikiLeaks,wikileaks,"Securely submit leaks: https://t.co/676V6mG02v
PGP: A04C 5E09 ED02 B328 03EB 6116 93ED 732E
Shop: @WikiLeaksShop
Defend: https://t.co/vjSZXJDoI2",5503537,7628,55392,1089,Sat Oct 04 06:41:05 +0000 2008,24,15/02/2020,19/12/2019,651,11611,3287,1,0.002825274,8.384368521,news,5515214.935,
Guardian news,guardiannews,The need for independent journalism has never been greater. Become a Guardian supporter: https://t.co/KXycIPGfHd,3023625,1257,32571,12,Thu Feb 22 12:32:47 +0000 2007,38,15/02/2020,13/02/2020,649,3755,1986,4,0.002113357,6.304432622,news,3030680.789,
Channel 4 News,Channel4News,"Stories that reveal and inspire, challenging expectations. 

Weekdays 7-8pm on Channel 4.",2268055,4531,0,518,Mon Apr 28 14:29:37 +0000 2008,56,15/02/2020,31/01/2020,4479,16931,8809,0,0.013323751,4.889384744,news,2299351.296,
ITV News,itvnews,"Breaking news and the biggest stories from the UK and around the world. Bulletins weekdays at 1:30pm, 6:30pm and 10pm on ITV. Email yourstory@itv.com",2216462,1475,7803,529,Wed Feb 25 13:51:23 +0000 2009,38,15/02/2020,08/02/2020,3251,15497,5624,26,0.010995902,6.414188527,news,2236442.744,
BBC Newsnight,BBCNewsnight,"Welcome! Find us weekdays 22:30 on BBC Two with @maitlis, @KirstyWark & @Emmabarnett or anytime at https://t.co/lvXNv9BZub and YouTube https://t.co/E5qVboMf8f",627530,2726,6250,2024,Tue Feb 10 20:37:57 +0000 2009,64,15/02/2020,30/01/2020,8154,18269,7717,0,0.054403774,3.540443096,news,654946.6784,
BBC Radio 4,BBCRadio4,"The home of speech, journalism, comedy and drama. Discover our podcasts on the free @bbcsounds app: https://t.co/i9dFTEdNvh",496203,8134,4528,15613,Thu Mar 12 12:17:39 +0000 2009,25,15/02/2020,31/01/2020,1082,11450,4631,0,0.034588666,8.334022268,news,512655.8492,
Channel 4 Dispatches,C4Dispatches,"Official account for @Channel4 award-winning current affairs series. Catchup on @All4 - also follow @Channel4News and @UnreportedWorld on Twitter, FB and YT",66585,7909,659,260,Tue Sep 29 12:51:14 +0000 2009,17,15/02/2020,29/07/2019,7116,126424,94928,0,3.431223248,17.7311051,news,403841.7638,
Full Fact,FullFact,The UK's independent factchecking charity. 1) Subscribe to our newsletter https://t.co/au2hoSTz50  2) Donate https://t.co/tvpajiuR78  3) How we're funded https://t.co/lyJkgcYb2v,138981,1385,1784,1325,Thu Oct 08 14:38:41 +0000 2009,32,15/02/2020,29/11/2019,2248,46976,33653,0,0.596318921,15.49135596,news,258542.1608,
Guardian politics,GdnPolitics,News and opinion on UK politics from the Guardian,249722,2368,5682,167,Tue Jun 16 14:27:54 +0000 2009,58,15/02/2020,26/01/2020,723,1909,1262,0,0.01559334,2.400387573,news,254205.5879,
HuffPost UK,HuffPostUK,Know what's real.,207955,2181,3583,978,Thu Mar 24 13:20:16 +0000 2011,29,15/02/2020,11/02/2020,105,503,260,0,0.00417398,0.724836303,news,208878.7186,
New Statesman,NewStatesman,"Politics, geopolitics, books, culture, ideas, technology and more. https://t.co/XGvbSj3FFq",179841,708,4725,1607,Mon Feb 02 13:37:55 +0000 2009,41,15/02/2020,10/02/2020,174,824,522,0,0.00845191,1.646542235,news,181695.5427,
The Spectator,spectator,"Politics, culture and more; weekly since 1828, and a bit more often here. Try a month free – https://t.co/JF8cWIgqu0",159712,500,2865,314,Fri Oct 10 14:26:35 +0000 2008,53,14/02/2020,03/02/2020,1871,3964,1239,58,0.044292226,3.513180885,news,164113.8744,
C4 News FactCheck,FactCheck,Testing the claims of people in power. For more news follow @Channel4News,95550,888,1677,134,Tue Jun 17 08:26:56 +0000 2008,37,10/02/2020,13/11/2019,2180,21592,15178,0,0.407639979,9.089353112,news,149473.8492,
PoliticsHome,politicshome,All today's politics in one place.,108949,1397,2254,99,Thu Oct 02 13:25:29 +0000 2008,72,15/02/2020,11/02/2020,580,1526,736,17,0.0260856,1.439171215,news,111563.8342,
Left Foot Forward,LeftFootFwd,Hard-hitting news & comment for the UK left. Editors: @josiahmortimer and @joeloyo. Sign up for our weekday briefing https://t.co/e7SdXYkitc,63736,1926,1503,904,Thu Jul 09 12:15:25 +0000 2009,41,15/02/2020,20/01/2020,92,753,680,0,0.023926823,1.173701843,news,66151.8794,
Telegraph Politics,TelePolitics,The inside track from Westminster with the @Telegraph's lobby team. Sign up for our newsletters - Front Bench and Brexit Briefing https://t.co/qO2NDhGY7u,56640,1283,1772,49,Thu Jan 29 13:03:42 +0000 2009,59,15/02/2020,22/01/2020,1511,3348,1346,0,0.109551554,4.003727978,news,61422.0201,
HuffPost UK Politics,HuffPostUKPol,"Politics from HuffPost UK with @nedsimons, @paulwaugh, @singharj, @REWearmouth & @JasminGray2",54169,1148,1070,117,Thu Jun 16 15:55:57 +0000 2011,35,14/02/2020,26/01/2020,202,718,642,0,0.028835681,1.03589176,news,56449.87437,
Ipsos MORI,IpsosMORI,Ipsos MORI is a leading market research company in the UK and Ireland. Follow us for latest #MRX and #NewMR news and updates.,50416,2176,0,1319,Mon Mar 09 16:37:18 +0000 2009,35,14/02/2020,25/10/2019,152,1057,981,0,0.043438591,1.309109944,news,53901.26131,
Conservatives,Conservatives,👍 Get Brexit Done. 🇬🇧 Unleash Britain's Potential. 🌳 Join the Conservatives today!,479800,1742,4558,1250,Wed Apr 02 09:37:50 +0000 2008,60,15/02/2020,13/12/2019,24775,189473,38152,0,0.526052522,29.11539665,pol,615345.0452,
The SNP,theSNP,Scotland's largest political party and party of Government. Centre left and social democratic.,263880,1713,2032,1248,Sun Sep 27 20:19:48 +0000 2009,28,14/02/2020,23/01/2020,6106,65966,24162,0,0.364688495,14.9441497,pol,349721.8794,
UKIP,UKIP,UKIP is the only party that puts the interests of the British people first. Join us today and help shape Brexit Britain 🇬🇧,214533,3672,1745,3133,Fri Aug 19 15:06:55 +0000 2011,32,13/02/2020,26/10/2019,2230,14217,5084,0,0.100362182,7.765590638,pol,232595.2513,
Lib Dem Press Office,LibDemPress,"'The Most Entertaining Thing In British Politics'- https://t.co/rAqoej7hcx  Because the next election will clearly be won on twitter.
https://t.co/lAm68p60Ot",56015,1099,983,1017,Thu Jul 30 08:18:33 +0000 2009,54,10/02/2020,06/11/2019,5270,46564,24654,0,1.365491386,19.3784063,pol,143604.8392,
LabourList,LabourList,The inside track on all Labour news and an open platform for debate. Editor: @siennamarla,67442,2546,1317,245,Sun Jan 11 18:06:10 +0000 2009,58,15/02/2020,31/01/2020,1152,4276,2204,0,0.113163904,4.890644984,pol,75272.29146,
Jeremy Corbyn,jeremycorbyn,Leader of the Labour Party.,2368234,2736,7922,315,Fri Feb 26 15:45:23 +0000 2010,64,15/02/2020,09/12/2019,281027,4723353,1121750,155,2.586792521,25.53675786,pol,6353546.814,
Nicola Sturgeon,NicolaSturgeon,"First Minister of Scotland, @theSNP Leader and MSP for Glasgow Southside. Loves 📚",1048191,4736,3922,1809,Tue Jun 29 15:25:42 +0000 2010,53,12/02/2020,02/12/2019,52651,830826,152687,0,0.988525946,22.01266852,pol,1590651.849,
David Lammy,DavidLammy,"MP for Tottenham. Former Minister (Higher Education, Culture, Justice, Health). Spurs fan #COYS. Order a signed copy of my new book, Tribes: https://t.co/W7cwogcfiw",598947,4640,3030,11152,Wed Dec 10 14:53:54 +0000 2008,55,14/02/2020,13/12/2019,104884,764291,193469,0,1.774187032,9.679620207,pol,1286296.663,
Sadiq Khan,SadiqKhan,Mayor of London. Fighting for Britain to stay in the EU. #TeamKhan #StandingUpForLondon,1066913,9302,3976,4893,Fri Jan 23 15:21:58 +0000 2009,58,15/02/2020,26/12/2019,25054,114396,26033,0,0.155104493,5.907653702,pol,1159402.101,
John McDonnell MP,johnmcdonnellMP,Labour MP for Hayes and Harlington and Shadow Chancellor. Join the Labour Party here: https://t.co/vbWxb5FqMM,263320,6169,2036,21,Fri Sep 25 15:12:27 +0000 2009,59,15/02/2020,03/12/2019,37246,417415,155211,0,2.31608689,17.93226518,pol,814748.0251,
Caroline Lucas,CarolineLucas,"Green MP for Brighton Pavilion, former leader and co-leader of @TheGreenParty, Mum",450302,5964,4847,406,Thu Oct 08 08:46:30 +0000 2009,47,15/02/2020,19/12/2019,24371,250113,93963,0,0.818221993,19.56106396,pol,784130.3467,
Yvette Cooper,YvetteCooperMP,"Labour MP for Normanton, Pontefract, Castleford & Knottingley. For constituency casework pls contact coopery@parliament.uk",271789,773,1960,47,Sun Jul 03 18:59:51 +0000 2011,63,15/02/2020,02/07/2019,58944,411276,104952,0,2.116244587,13.44758203,pol,644658.6683,
Diane Abbott MP,HackneyAbbott,Member of Parliament for Hackney North and Stoke Newington. Shadow Home Secretary. Retweeting does not mean agreement.,309474,861,2809,10519,Wed Jun 09 14:34:32 +0000 2010,56,15/02/2020,11/12/2019,36197,330735,71428,0,1.416467942,10.21670056,pol,563240.8141,
John Prescott,johnprescott,UK Deputy Prime Minister 1997-2007 and former Deputy Leader of the Labour Party.,267930,877,3377,307,Thu Jan 22 11:53:45 +0000 2009,59,24/06/2019,21/08/2017,13162,206905,77257,0,1.109707759,17.16602971,pol,542405.8744,
Jo Swinson,joswinson,Scottish. British. European. Runner. Feminist. Author of Equal Power.,175922,2903,1722,9775,Wed May 28 13:03:42 +0000 2008,51,24/01/2020,31/10/2019,101530,377530,103018,61,3.308727732,7.092788224,pol,541920.6231,
Keir Starmer,Keir_Starmer,Labour MP for Holborn and St Pancras. Shadow Secretary of State for Brexit. Former Director of Public Prosecutions (2008-13).,313815,380,1611,90,Thu Apr 03 12:37:30 +0000 2014,58,15/02/2020,15/01/2020,19786,283952,53901,0,1.139649156,24.45281232,pol,505312.5226,
Chuka Umunna,ChukaUmunna,,390375,2227,2971,77,Sun Apr 19 20:14:28 +0000 2009,71,13/02/2020,27/11/2019,9825,60202,23983,0,0.240819725,7.320513442,pol,475580.9347,
Jess Phillips MP,jessphillips,"Labour MP for Birmingham Yardley 
https://t.co/b0pxpIsPJc",357300,2839,1808,43118,Tue Feb 03 20:24:44 +0000 2009,65,15/02/2020,18/01/2020,15909,186973,24430,74,0.636193675,19.55814593,pol,444094.0201,
Laura Pidcock,LauraPidcock,,87996,2753,494,4072,Sun Feb 13 22:45:04 +0000 2011,24,13/02/2020,02/12/2019,18288,211334,93085,0,3.667291695,25.15381151,pol,418705.0201,
Richard Tice,TiceRichard,Businessman | MEP | Patient Liverpool fan | Chair @brexitparty_uk 🇬🇧,63384,488,370,1378,Wed May 29 08:45:16 +0000 2013,24,09/02/2020,28/10/2019,30646,315227,95750,0,6.9674208,15.43547726,pol,403561.1357,
Ian Lavery MP,IanLaveryMP,Chair of the Labour Party. Proud to be re-elected for the fourth time as the Labour MP for Wansbeck.,65303,5842,667,1557,Wed May 18 14:09:04 +0000 2011,34,15/02/2020,02/11/2019,17978,227177,91039,0,5.148216774,19.29610133,pol,388743.0653,
John Redwood,johnredwood,,73952,435,849,214,Tue Dec 01 15:27:11 +0000 2009,47,15/02/2020,25/09/2019,22766,304835,84004,1,5.565840004,17.09069388,pol,372398.3719,
Sayeeda Warsi,SayeedaWarsi,Member @UKHouseofLords ProVC @BoltonUni Prof @YourStMarys Conservative Chairman 2010-12 Foreign Minister 2012-14 Author-The Enemy Within https://t.co/zQARcmGXMA,158159,1792,957,6221,Mon Jan 31 21:33:08 +0000 2011,55,15/02/2020,04/11/2019,11152,146117,55897,0,1.347795573,15.76834414,pol,356747.8392,
Michael Gove,michaelgove,MP for Surrey Heath. Chancellor of the Duchy of Lancaster @CabinetOfficeUK,145770,2036,1283,93,Thu Jun 30 09:49:57 +0000 2016,59,12/02/2020,15/09/2019,91231,187141,46246,34,2.226919119,4.419722993,pol,310071.1156,
Anna Soubry,Anna_Soubry,"Former MP, Govt Minister, Criminal barrister, TV presenter and reporter. Media enquiries to jon@jonholmesmedia.com",199553,662,1555,11812,Wed Jun 29 14:26:42 +0000 2011,57,13/02/2020,24/11/2019,31845,126940,27786,0,0.934944601,5.049712694,pol,298270.0955,
Vince Cable,vincecable,"Former MP for Twickenham; Leader of @LibDems 2017-19; Secretary of State for Business, Innovation and Skills 2010-15",176309,3883,2350,1209,Wed Jul 15 12:15:53 +0000 2009,60,15/02/2020,06/06/2019,8810,121408,33798,13,0.930275823,19.88172879,pol,296385.3116,
Michael Heaver MEP,Michael_Heaver,Brexit Party MEP for East of England.,57603,2031,509,2681,Wed Mar 04 17:10:13 +0000 2009,28,15/02/2020,11/11/2019,9113,190538,53925,0,4.402131833,22.72887066,pol,249185.7889,
Rory Stewart,RoryStewartUK,Candidate for Mayor of London. Independent. #RoryWalks. Author of Occupational Hazards,224888,882,1516,2814,Sun Apr 11 19:34:18 +0000 2010,54,15/02/2020,04/02/2020,7226,46192,4628,0,0.258110704,12.89145277,pol,241330.191,
Andy Burnham,AndyBurnhamGM,Labour Mayor of Greater Manchester,222574,1960,1974,6037,Fri May 14 11:06:05 +0000 2010,56,15/02/2020,24/12/2019,2958,35468,4554,0,0.193104316,7.292930527,pol,238753.2864,
Emily Thornberry,EmilyThornberry,"Labour MP for Islington South and Finsbury.
Shadow 1st Sec. Shadow Foreign & Commonwealth Sec. Running for Leader of the Labour Party",193816,1363,1481,3988,Thu Jul 08 10:25:33 +0000 2010,51,15/02/2020,11/12/2019,25675,72334,11268,0,0.563818261,6.13547985,pol,233848.5427,
Joanna Cherry QC,joannaccherry,"SNP MP for Edinburgh South West, Queen's Counsel and Feminist.",87093,2281,826,35020,Wed Jun 04 22:37:08 +0000 2014,23,15/02/2020,16/01/2020,8841,116156,39466,14,1.888360718,19.25201744,pol,227306.3769,
Angela Rayner 🌈,AngelaRayner,"Proud Labour MP for Ashton, Droylsden and Failsworth. I am standing to be the next Deputy Leader of the UK Labour Party. Email: angela.rayner.mp@parliament.uk",180595,4505,1011,21922,Sat Dec 04 09:51:49 +0000 2010,49,15/02/2020,29/01/2020,3351,54247,10571,0,0.377468922,20.82379526,pol,218151.2663,
Hilary Benn,hilarybennmp,Labour MP for Leeds Central,152304,307,1350,8,Wed Nov 09 12:58:34 +0000 2011,48,12/02/2020,07/11/2019,5270,62193,16353,11,0.550320412,10.54379387,pol,210402.3467,
Lisa Nandy,lisanandy,Labour MP for Wigan,114089,3067,1097,4180,Sat Dec 05 02:17:45 +0000 2009,52,15/02/2020,15/01/2020,27689,148471,26643,128,1.77758592,11.67869997,pol,208745.2864,
James Cleverly,JamesCleverly,MP for the Braintree Constituency. Chairman of the @Conservatives,73125,7588,1062,7686,Tue Mar 04 11:07:28 +0000 2008,49,14/02/2020,06/12/2019,35166,175094,34631,0,3.348936752,12.74050092,pol,196160.7638,
Clive Lewis MP,labourlewis,Labour MP for Norwich South. Shadow Treasury Minister for Sustainable Economics. Contact: casework@clivelewis.org Tweets sometimes from staff,94935,5889,958,22989,Fri May 01 11:26:42 +0000 2009,49,13/02/2020,05/12/2019,9854,95467,25551,17,1.378543214,13.03735571,pol,185711.6683,
Amber Rudd,AmberRuddUK,"Former UK Home Secretary, Equalities Minister, Secretary of State for Work & Pensions, and Energy & Climate Change. MP for Hastings and Rye 2010-2019.",114978,2603,1171,368,Fri Jan 27 14:59:09 +0000 2012,59,15/02/2020,14/08/2019,33849,98104,19726,0,1.319200195,6.618404176,pol,185059.8191,
Matt Hancock,MattHancock,Secretary of State for Health & Social Care and MP for West Suffolk,105922,1254,1573,2320,Sat Jan 31 18:44:16 +0000 2009,60,15/02/2020,09/12/2019,45061,79288,18077,0,1.344630955,2.9185892,pol,170145.3116,
Caroline Flint,CarolineFlint,01302 770830 caroline@flint4donvalley.com,84656,1407,1192,940,Wed Dec 15 18:17:56 +0000 2010,49,15/02/2020,08/10/2019,36855,122684,23465,0,2.161736912,6.382238588,pol,168021.603,
Heidi Allen,heidiallen75,Former MP for South Cambridgeshire heidi@heidiallen.co.uk,87734,837,0,5555,Thu Dec 01 21:21:56 +0000 2011,43,31/01/2020,17/10/2019,13517,103803,20973,2,1.576276016,10.83387182,pol,162246.1156,
Luciana Berger,lucianaberger,former MP for Liverpool Wavertree | #mentalhealth | insta: lucianaberger | luciana@lucianaberger.uk,125025,7631,1581,12216,Mon Feb 16 15:17:22 +0000 2009,62,14/02/2020,04/12/2019,3288,48029,10304,25,0.492869426,10.23068251,pol,161632.6784,
stellacreasy,stellacreasy,Labour & Co-op MP for Walthamstow. Sitting on the sidelines is for Waldorf and Statler...If you like what I do please donate to keep me doing it!,137745,8779,1966,9,Thu Jul 24 12:32:28 +0000 2008,64,13/02/2020,12/12/2019,2064,35348,3996,16,0.300613452,13.29812724,pol,151941.8442,
Jonathan Ashworth,JonAshworth,Labour MP for Leicester South | shadow Health & Social Care Secretary | Marathon Runner 🏃🏻‍♂️,71166,2125,924,3076,Wed May 12 22:16:37 +0000 2010,52,15/02/2020,06/12/2019,4552,46787,22653,0,1.039709974,6.557662183,pol,151646.7588,
Tulip Siddiq,TulipSiddiq,Labour MP for my home seat of Hampstead and Kilburn. Casework/Questions? Email: tulip@tulipsiddiq.com,134779,1427,614,9607,Thu Feb 11 23:22:01 +0000 2010,32,15/02/2020,13/11/2019,1297,25509,4559,0,0.232714295,11.65985341,pol,150976.0503,
(((Dawn Butler))),DawnButlerBrent,MP for Brent Central  | Standing to be labours Deputy Leader | UK's first elected female African-Caribbean Government Minister. dawn.butler.mp@parliament.uk,81911,4722,732,8603,Mon Feb 15 16:59:03 +0000 2010,25,15/02/2020,26/01/2020,5379,69480,19152,0,1.147721307,16.65639965,pol,149953.5327,
Zac Goldsmith,ZacGoldsmith,"Minister for int’l environment, climate & forests ... and UK animal welfare  @dfid_uk & @DefraGovUk - in the Lords    zac@zacgoldsmith.com",87746,1182,1209,43,Fri Feb 27 16:50:51 +0000 2009,57,15/02/2020,26/11/2019,7337,76924,16999,0,1.154012719,14.05353054,pol,148139.4322,
Andrea Leadsom MP,andrealeadsom,"Member of Parliament for South Northamptonshire & Secretary of State for Business, Energy and Industrial Strategy",118114,1143,1321,1510,Wed May 06 21:28:42 +0000 2009,60,14/02/2020,12/12/2019,6106,56398,7466,8,0.592393789,19.44660411,pol,144638.9347,
Justine Greening,JustineGreening,"Founder, https://t.co/nQ9zK44JCS. ABBA fan. Former MP for Putney, Roehampton & Southfields.",74107,652,1305,845,Wed Nov 07 16:38:21 +0000 2012,45,13/02/2020,01/12/2018,7623,71515,16347,0,1.288474773,11.57174093,pol,132184.0302,
Chris Leslie,ChrisLeslieUK,"Formerly MP for Nottingham East (2010-2019) and Shipley (1997-2005), Minister and Shadow Chancellor. Was Director at New Local Government Network 2005-2010.",51334,843,770,363,Sun Aug 14 14:23:27 +0000 2011,50,19/12/2019,25/07/2019,15389,73985,22060,0,2.170764016,8.713572981,pol,129707.9698,
Seb Dance MEP 🌹🇪🇺,SebDance,Labour/ @Coopparty MEP for London. Dep Leader @LabMEPs. Vice-Chair @ep_environment. Patron @LGBTLabour. VP @LabourCID. @theprogressives He/ Him 🇪🇺🏳️‍🌈🇮🇪,64341,5681,746,15120,Sun Jun 07 15:44:59 +0000 2009,17,15/02/2020,26/01/2020,3098,100578,18253,0,1.895043596,15.81758376,pol,129189.598,
Tanmanjeet Singh Dhesi MP,TanDhesi,"@UKLabour MP for #Slough.  For casework/queries, please email tan.dhesi.mp@parliament.uk",55721,6558,315,32799,Sun Sep 15 00:15:38 +0000 2013,18,14/02/2020,06/11/2019,2664,66278,20241,0,1.600527629,15.63976863,pol,127632.4925,
Owen Smith,OwenSmith_UK,"Former Shadow Secretary of State for Work and Pensions, Wales and Northern Ireland and former MP for Pontypridd.",76341,1971,891,2855,Mon Oct 10 14:33:49 +0000 2011,50,16/01/2020,12/07/2019,10951,52408,13146,0,1.002148256,6.826552599,pol,123045.6332,
Andrea Jenkyns MP,andreajenkyns,"Proud Mum, Love our country🇬🇧 & Dog Lover.
MP for #Morley & #Outwood.
For my help please contact me on 0113 345 0380 or email Andrea.jenkyns.mp@parliament.uk",54122,2710,618,3696,Sat Apr 13 22:55:49 +0000 2013,34,14/02/2020,15/11/2019,10894,96428,19372,11,2.340896493,12.27495183,pol,122946.1407,
Johnny Mercer,JohnnyMercerUK,Father of two; husband of 1. Believer in change; Follow if you think #plymouthdeservesbetter Member of Parliament for Plymouth Moor View,75476,1461,599,8401,Thu Dec 17 09:09:35 +0000 2009,40,14/02/2020,12/12/2019,6016,81705,11308,0,1.312059463,11.56082834,pol,115650.6533,
Liz Kendall,leicesterliz,Labour MP for Leicester West. If you’re a resident and need my help please ring 0116 204 4980 or email liz.kendall.mp@parliament.uk,91094,1627,1230,1113,Sun Jan 17 14:35:50 +0000 2010,63,14/02/2020,16/07/2019,2652,29747,6809,4,0.430412541,8.674844932,pol,115284.7688,
Layla Moran 🔶 🏳️‍🌈,LaylaMoran,Lib Dem MP for Oxford West & Abingdon and Spokesperson for Education. Follow https://t.co/2cV5xx0ce2 Get in touch https://t.co/OJQTXT1swc,54908,4651,610,6509,Mon Mar 09 11:24:04 +0000 2009,22,15/02/2020,11/12/2019,11642,74340,14331,0,1.826928681,11.04771162,pol,105822.6583,
Baroness Morgan of Cotes,NickyMorgan01,One Nation Tory. Conservative Peer. Secretary of State @DCMS,75305,1265,1177,4801,Fri Apr 24 14:36:16 +0000 2009,55,13/02/2020,19/10/2019,12951,25976,6442,0,0.602469956,4.342016057,pol,98191.90452,
Gavin Williamson,GavinWilliamson,Conservative Member of Parliament for South Staffordshire and Education Secretary. For any casework issues please email gavin@gavinwilliamson.org,57737,522,734,249,Mon Sep 05 12:49:41 +0000 2011,44,14/02/2020,07/09/2019,6107,28048,7721,0,0.72528881,9.762887222,pol,85167.88945,
Wes Streeting MP,wesstreeting,Ilford North’s Labour Member of Parliament. Re-tweets ≠ endorsements. e:wes@redbridgelabour.org.uk,59821,8990,1027,22468,Sun Feb 08 12:00:46 +0000 2009,54,14/02/2020,14/01/2020,6739,40099,6869,18,0.897795089,12.88049715,pol,84224.93467,
Angela Eagle,angelaeagle,Labour MP for Wallasey. Author ‘The New Serfdom - the triumph of conservative ideas and how to defeat them’,74745,1802,1086,8450,Thu Mar 18 21:02:37 +0000 2010,46,15/02/2020,18/12/2019,2061,7881,2110,0,0.161241555,8.985894883,pol,82241.33166,
Gloria De Piero,GloriaDePiero,,54809,5236,939,2516,Sat Jul 03 19:37:56 +0000 2010,60,15/02/2020,26/09/2019,13251,38597,7696,0,1.086390921,6.23074059,pol,82151.07035,
Annunziata Rees-Mogg,zatzi,Conservative MEP for East Midlands region fighting for Brexit,55751,1219,272,5227,Sun May 10 20:11:35 +0000 2009,34,15/02/2020,14/12/2019,3222,46298,7289,3,1.018977238,9.374648619,pol,81647.09548,
